BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
3.7,9.1,431.0,12.1,0.983,5.2,9.157,0.996,10.1,43.95117998626024
0.5,3.1,177.0,11.4,0.035,3.4,2.535,0.037,6.5,48.65579190362935
1.8,3.3,342.0,11.2,0.043,1.2,9.67,0.058,9.0,33.9007926412541
2.3,6.8,388.0,14.4,0.098,3.6,13.906,0.101,2.5,40.34379989323088
1.9,4.4,238.0,11.8,0.214,4.3,4.919,0.235,4.7,51.59404906389842
1.0,3.6,214.0,13.1,0.142,4.6,3.119,0.144,7.6,46.96020390967473
0.9,3.3,172.0,14.0,0.03,3.9,2.879,0.038,5.3,47.32357878485895
1.2,2.3,273.0,16.0,0.005,2.2,3.998,0.024,10.0,43.434744960768256
1.3,4.5,208.0,13.3,0.288,5.0,3.757,0.289,7.0,48.01228256244352
1.7,2.1,387.0,12.2,0.058,0.2,5.156,0.072,8.0,29.566413341396725
2.7,7.9,661.0,12.6,0.275,8.5,14.716,0.325,6.9,47.32357878485895
3.0,5.9,353.0,10.3,0.178,10.6,8.593,0.182,8.0,40.70056648254716
0.5,2.7,167.0,11.7,0.023,3.2,2.273,0.024,6.2,45.35499926237525
2.7,5.7,253.0,9.2,0.552,0.8,7.972,0.547,7.0,38.33476670517349
1.0,4.0,233.0,12.7,0.198,6.2,4.011,0.212,5.4,48.65579190362935
3.2,5.5,298.0,11.8,0.514,8.6,9.101,0.566,10.0,33.9007926412541
4.5,9.6,372.0,8.7,1.411,6.6,13.476,1.507,12.0,37.39977384129307
1.6,2.1,141.0,12.2,0.005,1.8,2.605,0.019,8.0,31.53499286388043
3.6,4.7,309.0,11.8,0.259,5.4,8.628,0.37,9.0,33.9007926412541
0.8,3.9,206.0,13.2,0.186,5.0,3.99,0.203,6.6,46.96020390967473
3.7,5.7,400.0,10.9,0.331,3.6,9.629,0.37,9.0,27.10101879996104
3.1,7.1,520.0,13.4,0.019,4.0,13.176,0.144,6.0,8.011640237728415
3.1,7.3,520.0,11.8,0.13,2.4,9.024,0.288,6.0,48.65579190362935
3.9,5.9,243.0,14.0,0.283,8.0,5.753,0.361,3.0,67.56557734943284
1.3,2.8,180.0,14.2,0.0,1.6,2.408,0.0,4.0,52.99017120348672
