BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
1.3,4.1,162.0,10.4,0.022,5.9,2.369,0.033,16.7,56.13238581420941
3.4,4.7,450.0,10.1,0.202,3.2,4.504,0.206,13.8,29.566413341396725
1.7,4.4,377.0,10.9,0.134,4.4,5.776,0.178,15.9,45.988122154734825
0.7,2.4,184.0,10.8,0.028,6.4,2.088,0.03,15.9,54.81205640373659
2.8,6.3,622.0,8.0,0.224,7.4,5.983,0.23,16.7,45.78158821050409
1.1,2.7,187.0,11.3,0.034,8.2,2.272,0.036,16.0,54.7285665380944
2.1,8.2,639.0,8.3,0.288,3.2,11.337,0.338,17.2,48.8102832854868
2.4,4.6,475.0,13.5,0.014,4.4,2.794,0.034,17.3,45.78158821050409
1.8,3.9,392.0,8.7,0.043,6.4,4.476,0.058,18.9,52.889554936846594
1.4,2.8,191.0,11.8,0.058,7.8,2.012,0.059,16.2,54.300114165133294
1.6,4.4,378.0,11.0,0.341,1.6,6.112,0.37,14.2,46.773341117012215
2.3,6.1,453.0,10.1,0.442,9.6,5.771,0.504,17.3,34.577612710541096
3.5,5.8,258.0,5.1,0.216,8.0,4.176,0.254,15.7,46.96020390967473
1.6,4.2,214.0,10.4,0.147,11.5,2.927,0.162,17.0,61.23039990922098
1.3,2.8,299.0,12.0,0.014,0.4,4.382,0.029,18.6,36.8965866233512
0.8,3.2,201.0,9.8,0.114,7.4,3.025,0.121,14.4,51.93431438775962
0.9,2.5,183.0,10.5,0.021,9.2,2.216,0.036,15.5,54.55942441697189
1.7,5.0,372.0,13.0,0.341,4.4,7.2,0.365,18.8,54.89484170515252
1.5,3.0,196.0,7.9,0.024,2.0,2.333,0.034,17.9,32.3885744721487
1.7,3.2,243.0,7.3,0.082,0.4,3.427,0.091,15.3,43.69636046464426
1.0,3.0,148.0,13.0,0.029,30.0,3.014,0.048,8.6,39.58881207968547
2.9,5.0,329.0,9.6,0.038,22.4,5.496,0.168,12.6,36.36618718268979
0.9,3.3,260.0,14.4,0.128,10.2,3.889,0.129,8.6,43.434744960768256
0.9,3.8,170.0,11.5,0.023,4.2,2.454,0.029,9.0,48.01228256244352
5.9,9.3,467.0,8.5,0.61,6.4,12.424,0.677,7.2,31.53499286388043
0.8,2.7,196.0,10.8,0.037,4.4,2.174,0.043,9.9,54.47374701647841
2.4,6.3,695.0,10.6,0.263,3.6,9.859,0.264,10.7,41.04481232989572
0.9,2.8,188.0,11.6,0.038,6.0,1.912,0.045,9.8,57.034292643354384
11.3,12.3,620.0,8.7,0.331,16.3,11.62,0.481,10.8,38.33476670517349
5.2,10.0,379.0,8.1,0.979,16.4,10.992,1.075,14.5,44.90901337268226
0.7,2.4,173.0,10.8,0.023,5.6,1.812,0.035,9.8,53.38262353604711
1.6,4.2,276.0,11.4,0.178,2.4,6.168,0.226,12.7,38.33476670517349
1.0,2.5,245.0,13.2,0.019,0.4,4.624,0.024,10.7,37.8784053517952
1.1,3.1,301.0,11.7,0.034,2.0,7.264,0.038,10.0,37.8784053517952
1.2,3.1,217.0,11.6,0.067,7.0,2.218,0.085,10.6,56.833398250874254
2.6,5.6,216.0,5.0,0.278,3.6,4.696,0.326,9.3,45.35499926237525
0.7,2.5,168.0,11.1,0.048,0.8,3.019,0.067,8.9,33.9007926412541
0.5,2.4,150.0,12.0,0.005,1.2,2.592,0.014,10.6,35.80546314291989
0.8,2.2,139.0,11.6,0.005,2.0,2.443,0.014,11.2,35.80546314291989
1.1,2.5,121.0,13.0,0.062,0.8,2.904,0.067,4.9,44.19954768258613
1.0,4.7,204.0,12.1,0.117,3.6,3.526,0.127,9.7,49.11215325700765
1.5,3.3,268.0,11.8,0.058,4.8,4.664,0.062,7.1,43.16596102398285
1.0,2.0,252.0,11.5,0.077,0.8,4.334,0.082,10.6,39.18834831344176
4.2,7.5,557.0,10.8,0.657,5.0,6.228,0.69,11.8,41.37738655183416
2.0,5.3,383.0,11.3,0.259,3.2,7.836,0.288,8.8,42.01050944419373
1.2,3.2,252.0,12.0,0.122,7.5,3.116,0.136,10.7,49.54822504782753
4.4,10.7,364.0,10.9,0.547,8.8,14.592,1.181,8.9,33.17379343442609
2.3,6.3,290.0,12.8,0.264,11.2,9.624,0.341,6.4,49.405010825506025
4.3,10.1,807.0,11.9,0.294,5.6,13.655,0.371,4.8,36.36618718268979
6.2,14.9,488.0,10.2,1.056,11.6,15.684,1.138,2.0,45.35499926237525
2.9,6.9,698.0,13.5,0.216,17.2,11.148,0.293,2.3,45.570612337286434
0.9,3.2,276.0,13.2,0.103,4.4,3.512,0.111,2.6,44.678179193088255
2.0,3.8,378.0,14.8,0.197,0.4,5.938,0.216,0.0,45.35499926237525
0.7,3.0,276.0,9.5,0.078,3.0,2.721,0.08,2.4,40.34379989323088
1.0,2.8,292.0,14.0,0.034,0.8,5.611,0.062,1.9,42.31237941571459
0.8,1.7,182.0,14.8,0.01,1.6,2.707,0.014,3.2,41.37738655183416
2.8,6.7,707.0,13.3,0.174,2.2,10.2,0.179,4.0,37.39977384129307
1.4,4.0,308.0,12.6,0.11,1.2,7.64,0.139,2.5,41.04481232989572
1.6,5.1,269.0,13.6,0.154,8.4,8.696,0.24,2.8,41.37738655183416
0.9,2.9,230.0,11.6,0.059,1.2,2.33,0.061,2.4,42.31237941571459
0.5,1.9,191.0,13.9,0.016,1.6,1.685,0.019,1.2,39.97356727571915
3.7,5.5,589.0,14.9,0.029,33.6,11.368,0.058,3.2,49.405010825506025
2.4,3.9,186.0,11.7,0.173,1.6,4.496,0.216,1.8,46.190397362193664
1.0,2.1,149.0,14.0,0.019,0.4,3.422,0.034,1.9,32.3885744721487
7.4,8.0,579.0,11.3,0.335,6.0,11.177,0.353,6.4,41.04481232989572
0.5,2.1,182.0,14.6,0.023,2.4,1.637,0.039,1.7,43.69636046464426
1.3,2.4,342.0,15.0,0.053,0.4,5.842,0.062,3.6,39.58881207968547
1.2,4.6,233.0,15.3,0.115,2.6,4.052,0.128,2.3,45.13454054646655
1.0,2.1,199.0,15.4,0.005,0.4,2.904,0.019,2.1,40.70056648254716
0.8,2.7,212.0,13.3,0.034,2.0,2.13,0.036,2.5,44.90901337268226
0.8,3.6,190.0,14.1,0.022,2.0,2.69,0.027,2.0,36.36618718268979
0.7,1.8,205.0,14.1,0.014,0.4,4.472,0.019,3.8,41.04481232989572
1.9,4.2,188.0,16.1,0.022,4.4,2.654,0.034,3.4,64.84110373597687
5.5,8.6,194.0,18.0,0.379,8.6,8.4,0.456,0.9,63.73413353218584
2.2,4.7,198.0,16.3,0.012,5.2,2.664,0.034,2.0,63.496919901871166
4.9,7.6,289.0,16.6,0.115,10.6,10.752,0.139,2.6,46.582849694754046
5.4,8.0,206.0,15.2,0.187,12.0,4.95,0.261,3.6,76.37606244926292
2.3,4.4,193.0,16.3,0.015,5.4,2.724,0.05,3.2,69.92975871551852
5.5,9.8,371.0,12.8,0.518,6.6,12.984,0.61,7.5,42.60523698421296
0.9,2.8,319.0,15.4,0.029,1.0,4.368,0.029,2.0,37.8784053517952
8.3,16.3,412.0,7.8,1.805,13.2,15.564,2.006,9.3,46.773341117012215
2.9,4.8,252.0,16.1,0.058,7.6,7.056,0.115,3.5,60.651864945092775
1.5,4.7,181.0,13.5,0.125,6.2,4.56,0.163,2.0,58.50856105526839
2.9,5.1,170.0,15.3,0.044,6.4,3.461,0.145,2.9,66.78790744485772
1.7,3.3,108.0,14.9,0.038,6.2,2.736,0.043,2.3,57.67569751172296
3.2,5.8,347.0,12.1,0.432,10.6,7.368,0.432,2.9,46.190397362193664
1.6,3.4,114.0,15.3,0.014,5.4,2.864,0.034,2.0,57.61341158819532
4.2,7.7,273.0,16.4,0.104,27.3,4.981,0.199,3.0,77.20731622149839
7.6,9.5,683.0,19.5,0.045,10.4,19.334,0.095,6.1,66.18090973438328
2.1,2.8,152.0,16.1,0.014,2.2,2.944,0.024,2.8,53.08976596754874
7.0,11.1,766.0,11.9,0.094,8.6,21.777,0.125,5.7,56.059448675246855
2.9,8.0,353.0,13.8,0.202,8.2,10.812,0.307,4.7,46.582849694754046
1.1,3.1,253.0,15.5,0.01,3.0,4.104,0.024,5.6,51.36046660021304
11.1,12.9,546.0,12.4,0.386,9.4,9.712,0.485,11.6,55.37739800066399
5.0,6.9,275.0,14.2,0.121,9.2,5.36,0.271,2.9,68.87835188852728
3.7,5.5,188.0,15.7,0.076,7.6,4.222,0.19,3.0,68.47375846530824
1.6,3.2,135.0,13.3,0.005,3.2,3.016,0.024,10.2,47.67397317518535
8.6,11.0,539.0,13.1,1.07,10.2,9.073,1.071,13.3,52.787895996027885
3.6,7.4,199.0,13.8,0.269,7.6,7.98,0.307,6.3,67.54289525840315
1.8,4.3,165.0,12.4,0.018,6.8,2.007,0.032,5.3,58.56543077975162
5.5,7.2,215.0,13.3,0.077,8.6,3.984,0.204,7.2,61.817498155271736
5.7,7.8,206.0,13.8,0.122,14.0,3.868,0.219,5.9,73.53850825086181
2.4,4.5,168.0,12.1,0.012,6.8,2.177,0.031,5.0,56.27665312010232
4.5,7.1,238.0,12.8,0.123,12.5,3.952,0.182,7.1,73.07157767397955
4.4,18.6,484.0,7.4,1.728,16.0,21.528,2.448,13.6,41.6990547137277
3.5,8.5,393.0,12.4,0.269,4.8,13.104,0.418,9.3,39.18834831344176
1.7,4.7,150.0,13.2,0.024,8.8,6.048,0.086,5.2,60.27810545355421
2.9,5.2,351.0,13.1,0.058,8.8,12.576,0.134,10.5,61.85811933132551
1.3,2.7,167.0,15.3,0.005,1.2,3.28,0.024,8.4,48.65579190362935
1.4,2.8,120.0,13.1,0.019,2.0,2.944,0.024,7.2,43.95117998626024
5.8,10.3,671.0,11.5,0.064,21.4,14.924,0.11,10.9,58.844936866093775
2.5,4.8,150.0,14.0,0.02,6.8,2.322,0.048,5.9,60.41993924950321
1.9,4.6,285.0,16.3,0.019,24.0,4.992,0.024,11.8,61.57017413148262
3.5,10.5,407.0,12.4,0.403,25.2,16.056,0.552,11.9,48.339312845268594
3.4,5.9,312.0,11.4,0.398,4.4,7.536,0.437,5.8,47.14357373452395
3.3,5.6,186.0,13.9,0.051,8.2,3.488,0.127,5.9,58.67819064191809
3.5,7.9,396.0,12.3,0.13,5.2,11.544,0.197,9.0,46.190397362193664
1.9,3.0,381.0,16.4,0.024,9.6,5.292,0.024,9.4,53.75997775096779
5.7,13.0,716.0,10.3,0.108,8.2,19.278,0.152,11.4,42.01050944419373
2.1,4.6,175.0,14.6,0.011,6.5,2.227,0.027,6.5,55.21916876393183
3.3,4.9,181.0,12.0,0.057,11.4,3.76,0.117,11.3,60.92312646744509
4.0,9.5,523.0,9.2,0.125,16.5,13.013,0.192,15.3,48.17716039312722
3.2,5.3,218.0,11.8,0.055,10.5,2.723,0.079,11.6,65.25113356831258
8.2,10.9,429.0,7.7,0.805,14.8,5.685,0.834,20.9,54.7285665380944
1.4,3.2,386.0,17.6,0.043,2.2,5.432,0.043,15.5,43.95117998626024
2.2,3.2,205.0,12.5,0.014,9.6,2.73,0.029,17.1,47.67397317518535
1.5,3.9,161.0,12.4,0.02,14.0,2.646,0.06,10.5,52.15477310366832
3.7,7.0,378.0,10.3,0.542,14.6,5.556,0.576,13.3,54.12335262615202
1.8,3.8,171.0,13.3,0.017,6.8,1.76,0.042,11.7,60.78843327596032
5.4,5.3,232.0,11.0,0.151,7.8,3.069,0.158,12.5,66.18090973438328
1.5,2.3,158.0,12.8,0.0,3.4,2.202,0.019,15.5,50.23451880206132
3.7,4.1,450.0,12.8,0.01,7.8,9.936,0.024,15.4,54.89484170515252
6.2,7.2,413.0,10.3,0.408,18.0,6.792,0.13,16.7,55.37739800066399
0.7,1.6,138.0,11.3,0.01,3.4,2.328,0.01,12.9,48.8102832854868
3.6,7.1,190.0,10.2,0.053,42.0,2.472,0.077,14.8,62.82254957663486
1.8,3.6,182.0,13.9,0.013,7.8,1.775,0.022,11.8,63.11216470583748
6.4,14.8,422.0,10.5,0.144,56.0,8.904,0.226,13.9,68.77875712446524
4.5,10.3,659.0,10.0,0.132,11.0,10.028,0.18,17.1,58.393822905191485
10.3,15.3,477.0,5.9,0.197,18.4,14.112,1.224,18.2,50.10104735539413
5.8,7.4,402.0,11.7,0.278,16.8,8.928,0.336,17.3,51.24155605339074
2.5,4.0,192.0,10.6,0.072,5.4,3.312,0.091,12.0,58.78966911427768
3.5,5.5,224.0,13.0,0.045,7.8,2.637,0.049,15.2,70.9115774439625
1.6,2.8,309.0,14.1,0.01,7.2,2.904,0.01,17.6,45.35499926237525
2.0,4.2,228.0,12.3,0.02,5.4,2.184,0.034,12.3,61.486327467207936
3.9,11.0,677.0,7.7,0.335,7.0,12.82,0.41,23.7,48.339312845268594
2.6,4.3,430.0,16.9,0.0,6.0,3.248,0.024,23.5,51.82219888172988
1.6,2.8,493.0,11.2,0.0,3.6,2.952,0.005,19.8,45.35499926237525
1.1,3.4,158.0,9.9,0.012,4.8,1.624,0.016,18.3,52.15477310366832
2.5,4.0,145.0,11.2,0.02,5.5,2.212,0.037,18.5,33.9007926412541
5.9,8.0,358.0,8.0,0.101,16.0,8.208,0.178,21.1,45.13454054646655
5.2,8.4,711.0,7.4,0.168,72.0,8.016,0.259,20.1,48.498828555020765
4.3,11.4,613.0,9.3,0.407,14.9,7.924,0.424,22.0,58.67819064191809
1.2,3.2,375.0,10.1,0.046,5.0,1.738,0.047,19.0,54.12335262615202
3.0,5.7,192.0,8.9,0.13,9.7,3.512,0.176,19.5,63.14777273041366
1.6,2.6,142.0,17.8,0.01,2.4,3.228,0.014,21.4,42.31237941571459
5.3,6.1,213.0,10.0,0.114,19.7,2.851,0.131,19.7,68.13762279842237
7.7,12.5,219.0,5.4,0.922,9.6,14.496,1.142,22.2,43.69636046464426
1.1,2.4,372.0,10.7,0.0,2.4,2.611,0.014,17.4,42.31237941571459
2.3,3.5,190.0,17.9,0.077,4.8,6.728,0.077,20.3,43.16596102398285
2.5,3.3,288.0,9.0,0.034,4.0,3.32,0.053,20.1,42.88960472093956
4.9,6.7,513.0,10.4,0.005,6.0,10.8,0.019,22.4,48.17716039312722
6.6,8.1,343.0,7.6,0.619,7.8,6.026,0.654,19.7,50.99932152387919
3.9,6.2,561.0,9.9,0.384,7.6,6.016,0.408,18.1,48.339312845268594
2.8,5.0,214.0,9.4,0.142,7.0,2.654,0.144,19.8,64.03092927817588
3.9,5.9,642.0,7.2,0.072,14.0,3.472,0.149,20.8,57.61341158819532
1.4,2.7,414.0,12.1,0.0,0.4,2.4,0.0,20.7,44.19954768258613
5.3,9.6,131.0,11.0,0.182,10.4,8.4,0.245,21.5,58.95454694496138
0.9,3.2,151.0,11.4,0.012,4.4,1.647,0.015,18.3,53.38262353604711
6.2,12.3,540.0,8.5,0.316,15.0,5.027,0.334,27.0,56.204784666799085
1.4,3.1,588.0,8.6,0.024,4.4,2.093,0.024,23.1,44.19954768258613
4.4,7.1,161.0,7.8,0.139,9.6,5.508,0.154,24.7,62.56192703799074
1.7,4.1,164.0,10.6,0.011,4.2,1.359,0.026,25.6,64.3190087062067
1.9,5.1,261.0,7.8,0.147,12.0,2.403,0.151,25.1,62.29419112214539
1.8,5.0,620.0,9.1,0.072,0.8,3.16,0.077,22.0,47.84458617118879
5.9,9.9,451.0,9.8,0.053,49.2,7.752,0.221,24.0,61.528340379387465
4.7,7.8,144.0,11.6,0.394,17.2,7.116,0.418,28.6,46.582849694754046
1.4,3.3,268.0,14.3,0.034,1.6,4.008,0.048,21.4,45.35499926237525
2.2,5.0,311.0,6.9,0.12,4.8,1.872,0.134,22.4,48.498828555020765
1.2,3.0,261.0,9.9,0.005,1.6,1.8,0.019,24.2,48.17716039312722
2.7,4.5,161.0,11.3,0.023,6.8,1.694,0.038,24.0,63.04055854849288
4.6,10.2,683.0,9.6,0.493,8.3,13.01,0.548,26.8,64.65999089951906
1.4,3.9,158.0,9.4,0.017,3.0,1.306,0.028,25.6,59.58766983732095
1.7,4.8,216.0,9.1,0.095,6.6,1.98,0.102,24.8,66.90977236604357
4.8,10.0,183.0,8.1,0.48,9.6,14.424,0.586,24.8,51.93431438775962
1.4,2.7,488.0,8.8,0.005,2.0,1.925,0.014,21.7,41.04481232989572
4.9,11.3,510.0,10.2,0.574,10.2,4.46,0.596,27.7,70.83070311946895
3.8,6.6,665.0,6.9,0.149,22.8,6.368,0.216,22.3,52.04516302480071
1.2,2.8,585.0,14.7,0.005,2.0,2.39,0.005,24.2,46.38858592097853
1.6,4.6,220.0,10.1,0.094,5.0,1.741,0.123,24.7,62.37143561573257
5.1,12.9,631.0,11.0,0.273,22.4,10.538,0.286,26.1,77.44189614324259
4.9,10.0,487.0,8.2,0.629,6.4,9.084,0.662,24.3,61.09988800642636
3.4,5.9,760.0,5.2,0.187,8.4,3.312,0.187,23.2,64.84110373597687
2.5,6.1,262.0,10.0,0.151,6.0,2.724,0.155,25.2,67.87774005088752
2.5,5.6,236.0,7.8,0.151,7.9,3.637,0.189,24.5,63.46255909616388
0.6,4.3,106.0,10.5,0.076,25.1,1.818,0.094,20.8,47.67397317518535
1.8,4.5,142.0,10.3,0.023,14.1,2.667,0.059,23.4,53.57311495830528
0.6,4.2,107.0,9.5,0.064,23.2,1.866,0.068,21.0,48.01228256244352
2.4,4.6,346.0,8.4,0.864,19.6,4.88,0.907,22.5,50.75095382755331
0.8,2.5,191.0,5.2,0.014,1.6,3.206,0.024,24.4,45.570612337286434
0.6,4.0,116.0,9.8,0.078,19.8,2.008,0.087,21.0,48.65579190362935
0.7,5.6,344.0,8.2,0.313,6.4,2.801,0.325,27.2,40.34379989323088
0.4,2.2,151.0,12.4,0.01,1.2,3.24,0.01,24.0,42.60523698421296
2.1,4.2,361.0,8.9,0.221,2.8,5.124,0.245,23.8,49.68937856223263
1.5,4.1,507.0,9.1,0.106,0.4,4.272,0.11,23.2,48.498828555020765
0.9,5.0,148.0,7.3,0.147,14.2,2.057,0.151,25.8,54.644360012481854
3.3,6.5,546.0,10.4,0.187,2.8,6.828,0.202,25.3,58.89989499302622
1.6,4.7,175.0,8.3,0.088,11.2,3.361,0.125,23.7,56.558974762338245
1.8,6.4,298.0,9.0,0.233,12.0,3.541,0.242,24.3,43.16596102398285
1.4,3.8,298.0,10.2,0.086,2.4,4.44,0.091,25.1,49.405010825506025
1.3,3.2,305.0,6.5,0.091,1.2,4.12,0.11,24.6,46.773341117012215
1.5,4.5,391.0,7.5,0.226,8.8,5.508,0.226,24.7,49.2596748339538
3.0,7.9,448.0,7.4,0.326,8.0,10.243,0.389,25.6,46.96020390967473
1.2,5.2,150.0,7.9,0.141,14.0,2.437,0.147,24.0,54.97693423442029
1.1,2.3,321.0,6.9,0.014,0.4,4.757,0.014,24.3,46.38858592097853
4.4,8.4,470.0,2.7,0.883,10.0,10.512,0.979,25.6,49.2596748339538
0.5,2.3,134.0,12.2,0.01,1.6,3.149,0.014,23.1,42.31237941571459
0.6,4.1,104.0,9.4,0.064,24.8,1.911,0.094,21.0,48.17716039312722
2.3,5.4,221.0,5.0,0.106,12.4,3.72,0.115,25.0,54.644360012481854
1.2,2.9,455.0,4.8,0.134,0.4,4.328,0.144,23.8,45.13454054646655
2.2,3.9,362.0,11.2,0.082,6.4,7.176,0.086,24.2,48.962379355404615
2.2,4.9,175.0,8.1,0.104,25.0,2.359,0.109,26.5,57.487640634706224
6.8,6.9,197.0,7.9,0.21,40.0,2.899,0.224,22.7,45.35499926237525
1.4,5.7,142.0,7.8,0.068,49.6,2.758,0.126,24.9,54.12335262615202
5.5,8.8,334.0,6.4,0.206,5.2,4.896,0.254,27.3,62.711700939593776
0.9,3.0,171.0,10.2,0.046,14.4,2.381,0.049,22.9,45.570612337286434
3.8,9.0,545.0,12.7,0.533,5.6,7.02,0.586,29.1,67.58820711725339
1.0,3.0,174.0,10.0,0.049,21.0,2.577,0.052,22.9,45.13454054646655
1.6,6.6,114.0,10.4,0.046,72.4,2.402,0.103,23.4,38.33476670517349
3.5,6.5,328.0,7.5,0.216,11.0,5.938,0.26,25.4,31.53499286388043
0.5,3.2,139.0,9.8,0.048,14.6,2.365,0.053,23.1,45.13454054646655
4.6,6.2,549.0,13.1,0.014,6.4,1.8,0.043,29.9,66.95809758692027
1.3,2.8,182.0,9.8,0.005,0.4,2.03,0.005,31.2,48.01228256244352
2.6,5.6,483.0,10.3,0.202,4.0,4.116,0.221,27.7,59.008896114446166
8.3,10.6,387.0,7.9,0.54,17.7,5.121,0.574,26.5,34.577612710541096
1.6,4.6,283.0,8.8,0.11,1.2,2.658,0.326,28.6,54.21213151260241
1.0,3.0,147.0,9.2,0.066,14.8,2.614,0.069,23.2,41.37738655183416
4.6,8.8,532.0,7.4,0.624,7.6,11.232,0.682,29.0,57.860217058226
0.6,2.1,167.0,8.2,0.0,0.4,2.078,0.005,29.5,48.962379355404615
2.1,5.3,480.0,9.7,0.101,1.6,4.584,0.13,27.1,52.787895996027885
1.1,4.3,501.0,12.6,0.072,4.8,2.176,0.072,27.1,50.8759236704299
1.4,2.8,212.0,8.3,0.0,0.4,2.074,0.01,29.0,45.13454054646655
0.9,3.1,142.0,9.9,0.046,15.4,2.561,0.053,23.3,45.570612337286434
3.2,6.6,476.0,13.9,0.278,6.8,5.328,0.307,29.2,60.51336852712863
1.0,3.1,376.0,13.1,0.005,1.2,3.499,0.005,28.6,52.787895996027885
3.9,6.7,667.0,10.1,0.302,2.0,3.728,0.312,27.2,60.37288879959834
2.8,7.0,523.0,15.5,0.019,12.0,6.12,0.062,29.6,64.9304215001774
1.0,2.1,202.0,9.0,0.043,0.4,2.866,0.053,20.3,42.31237941571459
0.8,3.0,129.0,11.5,0.07,14.8,1.863,0.084,19.5,49.82852983150372
1.2,4.5,142.0,9.8,0.092,18.7,2.875,0.132,21.3,49.405010825506025
1.2,3.2,176.0,10.3,0.109,7.4,2.393,0.111,20.8,44.90901337268226
2.3,5.5,215.0,5.2,0.254,5.6,4.416,0.254,20.1,47.50034032384023
0.8,1.9,300.0,9.2,0.086,0.4,4.013,0.086,20.2,41.6990547137277
1.2,2.4,303.0,10.8,0.029,0.4,4.968,0.034,22.4,43.69636046464426
5.0,7.2,392.0,7.9,0.447,5.8,3.949,0.45,24.3,47.84458617118879
0.5,2.2,147.0,10.3,0.01,0.4,2.309,0.014,21.5,42.01050944419373
1.3,3.3,297.0,10.0,0.058,2.0,4.68,0.062,22.2,46.38858592097853
1.4,3.4,190.0,9.9,0.101,9.2,2.407,0.11,20.7,47.32357878485895
1.2,3.9,406.0,9.7,0.187,9.6,5.148,0.206,20.0,46.38858592097853
3.8,4.5,381.0,8.0,0.192,0.4,5.528,0.206,20.3,41.6990547137277
2.2,3.3,308.0,8.3,0.058,2.8,4.224,0.082,19.8,41.6990547137277
0.5,2.1,129.0,10.1,0.005,2.4,2.338,0.014,20.6,43.434744960768256
5.7,8.7,364.0,5.5,0.97,8.8,10.464,1.066,21.8,44.44178221209767
1.6,4.8,378.0,9.8,0.192,8.0,4.333,0.212,20.8,40.34379989323088
2.4,3.9,260.0,8.4,0.197,4.8,5.568,0.202,21.2,40.70056648254716
0.8,1.7,201.0,9.3,0.019,0.4,3.192,0.029,21.2,45.13454054646655
0.8,2.9,143.0,11.4,0.054,12.0,2.036,0.083,19.7,47.84458617118879
1.2,3.8,147.0,12.7,0.081,13.9,2.349,0.087,22.0,55.53311555588719
1.0,4.4,127.0,9.2,0.045,17.7,2.326,0.079,20.9,50.99932152387919
1.4,2.8,229.0,9.8,0.062,16.0,3.088,0.077,20.6,43.16596102398285
0.8,1.8,157.0,10.5,0.014,0.4,1.944,0.019,19.2,41.04481232989572
1.7,6.2,423.0,7.2,0.232,4.9,6.021,0.261,22.1,38.770838495993374
0.8,2.7,154.0,10.5,0.077,7.0,1.99,0.098,21.1,48.962379355404615
6.4,13.4,390.0,9.1,1.402,24.0,13.944,1.642,8.2,44.90901337268226
0.8,1.9,125.0,11.9,0.01,1.0,2.827,0.01,1.9,42.31237941571459
2.6,3.5,276.0,14.5,0.049,2.8,2.659,0.061,1.3,51.12118644506504
5.3,6.0,363.0,11.8,0.193,5.0,4.565,0.197,3.4,50.62437142611306
2.2,5.1,263.0,14.8,0.147,3.8,4.636,0.177,1.5,50.8759236704299
2.7,4.1,200.0,12.5,0.187,2.0,4.936,0.216,1.2,39.58881207968547
2.0,4.1,201.0,11.7,0.211,0.4,5.728,0.235,1.0,38.770838495993374
1.8,4.2,658.0,14.2,0.164,3.7,3.851,0.17,1.7,54.300114165133294
0.9,1.6,233.0,16.0,0.005,0.8,4.512,0.01,3.0,43.16596102398285
2.6,6.7,328.0,15.2,0.053,10.8,9.6,0.13,3.9,50.8759236704299
5.5,13.0,704.0,10.1,0.33,7.6,13.494,0.447,6.7,50.99932152387919
0.5,2.1,224.0,13.6,0.023,2.0,1.966,0.026,2.5,51.93431438775962
1.9,3.1,338.0,11.5,0.014,3.2,10.848,0.029,3.4,47.14357373452395
1.1,2.6,245.0,15.4,0.02,3.2,1.983,0.029,2.0,51.59404906389842
2.0,5.0,325.0,14.2,0.346,4.2,7.896,0.384,2.6,42.31237941571459
2.5,3.5,275.0,14.0,0.045,4.4,2.68,0.053,1.1,49.96573486527592
1.1,3.6,204.0,15.0,0.012,2.4,2.67,0.026,0.8,52.04516302480071
10.9,8.5,775.0,12.1,0.252,9.4,10.854,0.262,6.0,59.58766983732095
7.4,17.4,432.0,10.6,0.979,9.2,16.296,1.128,2.6,41.37738655183416
1.0,3.2,331.0,17.0,0.034,5.2,5.32,0.043,2.9,47.67397317518535
1.1,2.8,289.0,16.9,0.024,0.8,3.936,0.048,1.0,40.34379989323088
3.4,7.9,347.0,11.2,0.307,13.2,12.6,0.355,2.8,51.70878721397533
0.8,2.3,130.0,12.3,0.005,1.4,2.923,0.005,1.6,45.988122154734825
8.3,9.3,633.0,11.7,0.345,5.4,14.71,0.35,8.5,42.88960472093956
0.9,2.2,155.0,17.7,0.01,1.2,3.475,0.024,0.0,38.770838495993374
2.7,7.4,327.0,15.7,0.115,7.2,10.248,0.187,6.6,38.33476670517349
1.1,3.3,149.0,9.9,0.006,7.6,2.021,0.009,17.3,58.89989499302622
2.7,5.4,241.0,5.8,0.101,6.6,3.928,0.173,18.6,56.48915240352569
0.9,2.3,472.0,9.5,0.072,8.8,4.88,0.082,15.8,37.8784053517952
1.4,3.0,367.0,12.9,0.019,1.8,4.08,0.019,21.3,49.11215325700765
1.5,4.6,219.0,9.6,0.058,17.6,3.157,0.113,17.5,65.27977592442627
3.5,8.0,684.0,8.3,0.081,2.9,11.976,0.113,18.3,55.53311555588719
3.9,6.9,305.0,5.9,0.144,4.2,11.604,0.144,22.1,52.26317199665871
4.5,7.1,412.0,6.6,0.571,6.4,9.0,0.595,20.5,41.04481232989572
1.6,4.6,239.0,9.1,0.066,14.1,3.548,0.108,18.4,63.496919901871166
1.4,4.0,410.0,10.9,0.053,2.8,7.704,0.062,20.2,47.67397317518535
1.7,4.5,203.0,8.1,0.121,9.7,3.68,0.166,17.7,60.651864945092775
5.5,3.9,473.0,9.8,0.062,16.4,8.736,0.096,21.3,48.17716039312722
1.4,3.3,199.0,9.5,0.034,2.8,2.77,0.043,21.7,51.12118644506504
1.7,4.5,196.0,10.8,0.04,8.8,3.318,0.053,17.8,61.69461554644558
0.8,2.7,371.0,9.2,0.115,2.0,6.392,0.13,17.6,41.6990547137277
1.1,4.7,389.0,9.7,0.067,3.2,7.416,0.101,18.9,48.498828555020765
4.5,4.3,267.0,7.3,0.427,1.4,6.424,0.427,20.4,47.32357878485895
